dataset_id,dataset_name,category,required_for,status,n_files,size_h,search_dir,source_url,license,notes
ntca_census,NTCA All India Tiger Estimation (5 rounds),population,growth,PRESENT,6,206.9 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/ntca,https://ntca.gov.in,Govt of India,Reserve-level figures for all reserves must be extracted from these PDFs/Excel
research_karnataka,Singh & Sen 2015 (Karnataka 2006-2010 gap-fill),population,growth,PRESENT,1,1.1 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/ntca,https://www.researchgate.net,Research paper,Fills Bandipur/Nagarahole 2006-2010 gap
reserve_boundaries,NTCA DSS PA/TR/corridor boundaries (KML),boundaries,growth;connectivity;sdm,PRESENT,1,33.2 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/ntca/PA_TR_Corridor_Final,https://ntca.gov.in/dss/,Govt of India attribution,PRIMARY boundary + corridor source per Decision 4. Geometry = core PA extent (NOT legal TR total); area/density use NTCA census total instead. Covers 55/58 by name; 3 gaps + 2 false matches fixed in Week 3
kba_boundaries,KBA Global protected areas (assessed not selected),boundaries,none,MISSING (empty),0,0.0 B,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/wdpa,https://www.keybiodiversityareas.org,Non-commercial attribution,Assessed in Week 2 (Decision 4): 51/58 coverage with same core-PA area limit as KML but no corridors. Not selected. Kept for reference only
wdpa_intl,WDPA India (international designations only — unusable),boundaries,none,MISSING (empty),0,0.0 B,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/wdpa,https://www.protectedplanet.net/country/IND,Non-commercial attribution,Rejected in Week 2 (Decision 4): India shares zero national PAs with WDPA (Ramsar/WHS only). Cannot supply reserve boundaries. Row kept so the rejection is not re-litigated
gbif_occ,GBIF Panthera tigris occurrence records,occurrences,sdm;effort,PRESENT,1,202.4 KB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/gbif,https://www.gbif.org,CC BY / CC0,Downloaded via 01 (occ_download zip). DOI 10.15468/dl.npxmxx. 4606 records inside India. Clipped points in data/interim/occ_tiger_gbif_raw_7755.gpkg
gbif_effort,GBIF Mammalia target-group background,occurrences,sdm;effort,PRESENT,1,6.9 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/gbif_background,https://www.gbif.org,CC BY / CC0,Mammalia only (not all vertebrates) per Decision 5. 2006-2022. DOI 10.15468/dl.2d523e. 39057 points inside India. Clipped points in data/interim/effort_background_tgs_7755.gpkg
worldcover,ESA WorldCover 2021 v200 land cover,covariates,connectivity;sdm,PRESENT,88,1.2 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/worldcover,https://esa-worldcover.org,CC BY 4.0,10m COGs windowed-read via 01; 88 tiles -> 1km modal. Output data/interim/cov_landcover_worldcover2021_1km_7755.tif. Per-tile 1km cache in worldcover/tiles_1km/
srtm,Terrain (elevation/slope/TRI) via AWS tiles,covariates,sdm;connectivity,PRESENT,1,10.5 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/terrain,https://registry.opendata.aws/terrain-tiles/,Public domain,elevatr AWS terrain z7 (~1km); slope+TRI derived on native DEM. Raw dem_india_aws_z7_4326.tif; 3-band output data/interim/cov_terrain_1km_7755.tif
ghm,Global Human Modification index,covariates,connectivity;sdm,PRESENT,1,426.0 B,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/ghm,https://doi.org/10.5281/zenodo.14502573,CC BY 4.0,Theobald 2024/2025 v3 2022 static all-threats (HMv20240801_2022s_AA_300.tif). Windowed /vsicurl read leaves no raw tif; PRESENT = source stamp written. 1km output in data/interim/cov_ghm2022_1km_7755.tif
osm_roads,OpenStreetMap roads (India),infrastructure,connectivity,PRESENT,3,1.1 GB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/osm,https://download.geofabrik.de/asia/india.html,ODbL,Geofabrik India via osmextract; major classes motorway-tertiary +links (885669 features; tertiary-dominated). Output osm_roads_major_7755.gpkg. Cache geofabrik_cache/ (~1.5GB pbf gitignored)
osm_settlements,OpenStreetMap settlements (India),infrastructure,connectivity,PRESENT,1,23.9 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/osm,https://download.geofabrik.de/asia/india.html,ODbL,Geofabrik India via osmextract; city/town/village points (199800; village-dominated). Output osm_settlements_7755.gpkg. Consider trimming to city/town for KDE (Week 8-9)
isfr_forest,ISFR 2021 Chapter 4 forest + corridors,forest,connectivity,PRESENT,16,461.3 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/forest,https://fsi.nic.in,Govt of India,13 documented corridors + per-reserve VDF/MDF/OF; already tabular from Phase 1
admin_boundaries,India admin boundaries (states/districts),administrative,growth;connectivity,PRESENT,3,20.8 MB,C:/Users/kiran/OneDrive/Documents/GitHub/tiger-network/data/raw/administrative,https://www.naturalearthdata.com,Public domain / CC BY 4.0,States=Natural Earth admin-1 (scripted); districts=DataMeet Census-2011 (scripted from raw.githubusercontent). Districts pre-redistricting vintage. Outputs boundary_states_ne_7755.gpkg + boundary_districts_datameet2011_7755.gpkg
