tr,state,ntca_km2,matched,kba_name,kba_repkm2,kba_geomkm2,pct_vs_ntca
Bandipur,Karnataka,1456.3,True,Bandipur National Park,948.9,953.6,-34.5
Corbett,Uttarakhand,1288.31,True,Corbett Tiger Reserve,818.1,794.0,-38.4
Kanha,Madhya Pradesh,2051.79,True,Kanha National Park,933.9,898.7,-56.2
Manas,Assam,2837.1,True,Manas National Park,523.9,504.9,-82.2
Melghat,Maharashtra,2768.52,True,Melghat Tiger Reserve,1599.9,1541.4,-44.3
Palamau,Jharkhand,1129.93,True,Palamau Tiger Reserve,1699.0,1633.6,44.6
Ranthambore,Rajasthan,1411.29,True,Ranthambore National Park and Tiger Reserve,274.1,263.9,-81.3
Similipal,Odisha,2750.0,True,Simlipal National Park,2349.9,2262.6,-17.7
Sunderbans,West Bengal,2584.89,True,Sundarbans Biosphere Reserve (National Park),3636.6,3501.1,35.4
Periyar,Kerala,925.0,True,Periyar Wildlife Sanctuary,781.6,799.7,-13.5
Sariska,Rajasthan,1213.34,True,Sariska Tiger Reserve,225.0,217.1,-82.1
Buxa,West Bengal,757.9,True,Buxa Tiger Reserve (National Park),39.3,37.9,-95.0
Indravati,Chhattisgarh,2799.07,True,Indravati National Park and Tiger Reserve,1344.9,1302.2,-53.5
Namdapha,Arunachal Pradesh,2052.82,True,Namdapha - Kamlang,2611.5,2520.6,22.8
Nagarjunsagar-Srisailam,Andhra Pradesh,3296.31,True,Rajiv Ghandi Wildlife Sanctuary (Nagarjunasagar - Srisailam Tiger Reserve),5182.9,5073.9,53.9
Dudhwa,Uttar Pradesh,2201.77,True,Dudhwa National Park,762.7,737.8,-66.5
Kalakad-Mundanthurai,Tamil Nadu,1601.54,True,Kalakad-Mundanthurai Tiger Reserve,817.8,842.9,-47.4
Valmiki,Bihar,899.38,True,Valmiki Tiger Reserve and Saraiyaman Lake,907.5,875.5,-2.7
Pench (M.P.),Madhya Pradesh,1179.63,True,Pench Tiger Reserve,726.3,699.5,-40.7
Tadoba-Andhari,Maharashtra,1727.59,True,Tadoba National Park and Andhari Tiger Reserve,558.9,539.6,-68.8
Bandhavgarh,Madhya Pradesh,1536.93,True,Bandhavgarh National Park,567.5,545.7,-64.5
Panna,Madhya Pradesh,1598.1,True,Panna National Park,567.3,545.5,-65.9
Dampa,Mizoram,988.0,True,Dampa Tiger Reserve,741.4,712.8,-27.9
Bhadra,Karnataka,1064.29,True,Bhadra Wildlife Sanctuary,503.6,500.1,-53.0
Pench (MH),Maharashtra,741.22,True,Pench Tiger Reserve,726.3,699.5,-5.6
Pakke,Arunachal Pradesh,1198.45,True,Pakhui or Pakke Wildlife Sanctuary,882.7,851.2,-29.0
Nameri,Assam,464.0,False,,,,
Satpura,Madhya Pradesh,2133.31,True,Bori Wildlife Sanctuary,1501.0,1444.1,-32.3
Anamalai,Tamil Nadu,1479.87,True,Indira Gandhi Wildlife Sanctuary and National Park,986.9,1002.2,-32.3
Udanti-Sitanadi,Chhattisgarh,1842.54,True,Udanti and Sitanadi Wildlife Sanctuaries,838.3,809.6,-56.1
Satkosia,Odisha,963.87,True,Satkosia Gorge Wildlife Sanctuary,658.1,634.9,-34.1
Kaziranga,Assam,1173.58,True,Kaziranga National Park,432.2,416.4,-64.5
Achanakmar,Chhattisgarh,914.02,True,Achanakmar Wildlife Sanctuary and Maniyari Reservoir,1866.0,1795.3,96.4
Kali,Karnataka,1097.51,True,Dandeli Wildlife Sanctuary,902.6,888.3,-19.1
Sanjay Dhubri,Madhya Pradesh,1674.5,True,Sanjay Gandhi National Park,128.8,124.7,-92.6
Mudumalai,Tamil Nadu,688.59,True,Mudumalai National Park,338.1,340.2,-50.6
Nagarhole,Karnataka,1205.76,True,Nagarhole National Park,713.7,715.7,-40.6
Parambikulam,Kerala,643.66,True,Parambikulam Wildlife Sanctuary,291.2,295.7,-54.1
