"unit_id","unit_name","state","landscape_complex","area_km2","area_provisional","poly_km2","poly_census_ratio","n_parts","match_status","geometry_present"
1,"Nagarjunsagar-Srisailam","Andhra Pradesh","central_india_eastern",3296.31,TRUE,5073.9,1.54,1,"matched",TRUE
2,"Namdapha","Arunachal Pradesh","northeast_hills",2052.82,TRUE,1809.1,0.88,1,"matched",TRUE
3,"Pakke","Arunachal Pradesh","northeast_hills",1198.45,TRUE,622,0.52,1,"matched",TRUE
4,"Kamlang","Arunachal Pradesh","northeast_hills",783,TRUE,678.7,0.87,1,"review",TRUE
5,"Manas","Assam","northeast_hills",2837.1,TRUE,2843.9,1,1,"matched",TRUE
6,"Nameri","Assam","northeast_hills",464,TRUE,371.5,0.8,1,"matched",TRUE
7,"Kaziranga","Assam","northeast_hills",1173.58,TRUE,401.8,0.34,1,"matched",TRUE
8,"Orang","Assam","northeast_hills",492.46,TRUE,70.4,0.14,1,"matched",TRUE
9,"Valmiki","Bihar","shivalik_gangetic",899.38,TRUE,874.4,0.97,2,"matched",TRUE
10,"Indravati","Chhattisgarh","central_india_eastern",2799.07,TRUE,1266.2,0.45,1,"matched",TRUE
11,"Udanti-Sitanadi","Chhattisgarh","central_india_eastern",1842.54,TRUE,841.7,0.46,2,"multi",TRUE
12,"Achanakmar","Chhattisgarh","central_india_eastern",914.02,TRUE,532.1,0.58,1,"matched",TRUE
13,"Guru Ghasidas-Tamor Pingla","Chhattisgarh","central_india_eastern",2829.38,TRUE,2006.1,0.71,2,"multi",TRUE
14,"Palamau","Jharkhand","central_india_eastern",1129.93,TRUE,1069.6,0.95,1,"matched",TRUE
15,"Bandipur","Karnataka","western_ghats",1456.3,TRUE,901.3,0.62,1,"matched",TRUE
16,"Bhadra","Karnataka","western_ghats",1064.29,TRUE,500.3,0.47,1,"matched",TRUE
17,"Kali","Karnataka","western_ghats",1097.51,TRUE,675.9,0.62,2,"multi",TRUE
18,"Nagarhole","Karnataka","western_ghats",1205.76,TRUE,714.9,0.59,1,"review",TRUE
19,"Biligiri Ranganatha Temple","Karnataka","western_ghats",574.82,TRUE,587.9,1.02,1,"matched",TRUE
20,"Periyar","Kerala","western_ghats",925,TRUE,800.9,0.87,2,"matched",TRUE
21,"Parambikulam","Kerala","western_ghats",643.66,TRUE,292,0.45,1,"matched",TRUE
22,"Kanha","Madhya Pradesh","central_india_eastern",2051.79,TRUE,898.8,0.44,1,"matched",TRUE
