unit_name,isfr_digitized_km2,notified_total_km2,diff_km2,diff_pct
Bor,131.77,816.27,-684.5,-83.9
Orang,80.21,492.46,-412.25,-83.7
Ramgarh Vishdhari,294.67,1501.9,-1207.23,-80.4
Srivilliputhur-Megamalai,501.01,1016.57,-515.56,-50.7
Dudhwa,1524.33,2201.77,-677.44,-30.8
Melghat,2028.47,2768.52,-740.05,-26.7
Nameri,371.86,464.0,-92.14,-19.9
Dampa,821.89,988.0,-166.11,-16.8
Sanjay Dubri,1490.33,1674.5,-184.17,-11.0
Nawegaon-Nagzira,1781.22,1894.94,-113.72,-6.0
Sariska,1145.8,1213.34,-67.54,-5.6
Satpura,2033.79,2133.31,-99.52,-4.7
Tadoba-Andhari,1647.22,1727.59,-80.37,-4.7
Nagarhole,1152.74,1205.76,-53.02,-4.4
Udanti-Sitanadi,1794.91,1842.54,-47.63,-2.6
Kalakad-Mundanthurai,1564.14,1601.54,-37.4,-2.3
Similipal,2721.62,2750.0,-28.38,-1.0
Pench,1168.66,1179.63,-10.97,-0.9
Pench (MH),738.28,741.22,-2.94,-0.4
Mukundara Hills,758.4,759.99,-1.59,-0.2
Sahyadri,1169.6,1165.57,4.03,0.3
Kaziranga,1180.35,1173.58,6.77,0.6
Bhadra,1071.24,1064.29,6.95,0.7
Kanha,2070.63,2051.79,18.84,0.9
Periyar,935.3,925.0,10.3,1.1
Kamlang,792.03,783.0,9.03,1.2
Parambikulam,652.21,643.66,8.55,1.3
Namdapha,2085.17,2052.82,32.35,1.6
Sundarbans,2634.74,2584.89,49.85,1.9
Satkosia,981.97,963.87,18.1,1.9
Achanakmar,936.34,914.02,22.32,2.4
Rajaji,1102.41,1075.17,27.24,2.5
Amrabad,2684.23,2611.39,72.84,2.8
Valmiki,928.8,899.38,29.42,3.3
Buxa,783.02,757.9,25.12,3.3
Pilibhit,758.64,730.25,28.39,3.9
Indravati,2922.39,2799.07,123.32,4.4
Manas,3030.24,2837.1,193.14,6.8
Mudumalai,750.81,688.59,62.22,9.0
Bandhavgarh,1684.53,1536.93,147.6,9.6
Panna,1783.48,1598.1,185.38,11.6
Kawal,2259.79,2015.44,244.35,12.1
Sathyamangalam,1581.77,1408.4,173.37,12.3
Corbett,1462.66,1288.31,174.35,13.5
Biligiri Ranganatha Temple,654.96,574.82,80.14,13.9
Nagarjunsagar-Srisailam,3843.88,3296.31,547.57,16.6
Anamalai,1767.76,1479.87,287.89,19.5
Bandipur,1784.47,1456.3,328.17,22.5
Ranthambore,1765.57,1411.29,354.28,25.1
Pakke,1507.71,1198.45,309.26,25.8
Kali,1411.75,1097.51,314.24,28.6
Palamau,1980.64,1129.93,850.71,75.3
