"unit_id","unit_name","pop_2014","pop_2018","pop_2022"
1,"Nagarjunsagar-Srisailam",54,38,58
2,"Namdapha",11,11,1
3,"Pakke",7,3,6
4,"Kamlang",NA,4,0
5,"Manas",11,31,58
6,"Nameri",5,3,3
7,"Kaziranga",103,104,104
8,"Orang",NA,21,16
9,"Valmiki",22,32,54
10,"Indravati",12,3,1
11,"Udanti-Sitanadi",4,1,1
12,"Achanakmar",11,5,5
14,"Palamau",3,0,1
15,"Bandipur",120,126,150
16,"Bhadra",22,30,28
17,"Kali",5,4,17
18,"Nagarhole",101,127,141
19,"Biligiri Ranganatha Temple",68,52,37
20,"Periyar",20,26,30
21,"Parambikulam",19,26,31
22,"Kanha",80,88,105
23,"Pench",43,61,77
24,"Bandhavgarh",63,104,135
25,"Panna",17,25,55
26,"Satpura",26,40,50
27,"Sanjay Dubri",8,5,16
31,"Melghat",25,46,57
32,"Tadoba-Andhari",51,83,97
33,"Pench (MH)",35,53,48
34,"Sahyadri",7,3,0
35,"Nawegaon-Nagzira",7,6,11
36,"Bor",5,6,9
37,"Dampa",3,0,0
38,"Similipal",17,8,16
39,"Satkosia",3,1,0
40,"Ranthambore",37,53,57
41,"Sariska",9,11,19
42,"Mukundara Hills",0,1,1
43,"Ramgarh Vishdhari",NA,NA,1
45,"Kalakad-Mundanthurai",10,7,5
46,"Anamalai",13,20,16
47,"Mudumalai",89,103,114
48,"Sathyamangalam",72,83,85
49,"Srivilliputhur-Megamalai",NA,NA,12
50,"Kawal",NA,1,0
51,"Amrabad",NA,7,12
52,"Dudhwa",58,82,135
53,"Pilibhit",25,57,63
54,"Ranipur",NA,NA,4
55,"Corbett",215,231,260
56,"Rajaji",NA,38,54
57,"Sundarbans",68,88,NA
58,"Buxa",2,0,1
